id,customerName,customerAddr,effectiveDate,mktSegment,status
0,a55b8e05556ef95f214cdc26a20cc8db,8c438227d33b22e5e44fa4281e52dff8,2020-03-26,8,1
1,3846eead52448b1f125b9cda652eed01,f36b0d866583b2ab52a1a13ec1e26ed1,2013-07-10,3,1
2,31e4cd36a7e9d4dec94eb04f675c9349,21cd8fbf87026aed3d9e66b6c43ab473,2010-05-09,8,1
3,77fac60eb314f54f9b255b2cab204a61,13c60708d328cea25b2bfbcdd824e56e,2010-07-21,1,1
4,8bf68f19ce460b51ccc29006732550c0,01aa90c6f4766e150f000265e34b81db,2017-05-12,7,1
5,8fa1a75673b33f2f580c98eb535fcbe6,cd99e197c2ddd429e537bfa33a91a3e3,2016-01-10,2,0
6,be31f022b789262e6c6b8fc098c45355,d7ee138d82c86251433edf030ce66eb2,2017-09-30,1,1
7,8516c194f45ba28f797f09c3b7edc867,c7bba752b1300cacb128922dff75d793,2019-06-18,4,1
8,9cb45be8a10d8d9ad1fd05bbb9cc5850,06c9ff3d5cd2101474f39129c47d0f70,2015-11-12,8,1
9,d7f09d42be0a2592764d8135eea48f5c,52183de89671fef4fbac84fd6b052ec5,2016-05-31,8,0
10,54b15040e550949627a41098f755f110,4d6dd6bbdadacfa5fc4858eb8524943d,2016-06-08,2,1
11,0d21dac012d180ae12ef2c94e0acd648,5d00f7195123a2ee4863caec3ce35d27,2015-09-08,4,1
12,eac8256a3af866d5599e1dbc9ad7af2d,bcd2d7f1743a5f168f5da8d67c0f7a65,2016-02-04,7,1
13,9830b44f9b34a089a00b614e2357a105,16436491fd0e197174f4b03d801d73b3,2014-05-25,5,1
14,e5b64fda36d60a3fed5b11c19deaf752,41ab74fe3faa13bbc6b26fcf10ebc1fa,2012-12-24,6,1
15,a3fbdaeee163ade731f6021b84e1d1e7,b250b3a51ec82fa81c79988c7dab01d4,2014-11-11,8,1
16,3880d52b491fc932d0a6ccd89dfd0b25,3affa449875add5f5bb30bc1b6c418ba,2012-01-04,3,0
17,c5b36c60ac1e57ed0eea958726782f8a,a2f76a2aaeacfd7453502030307b6b42,2012-01-02,7,1
18,fb04047808ee7261048a607fb276cd4c,7aa1f10ee00bb53f714abaebee3445b7,2019-05-18,1,1
19,71d1c66cbc61f7e32061aac8da969188,9537f14f0e0162f843274a4801b0b73d,2015-09-04,6,0
20,2ac16e3d9fa55787d918e38e15b67ec6,fd6d8a0dbe6859e57527e02dcafce097,2011-04-30,4,0
21,af11c4060166a77faab9ec3f3a879679,eb52af786ff5308fc6951054c80b811c,2019-10-24,7,1
22,a448185dab1645969e43db4c2a0399ed,9011cc9dd52ff33281721d699c2b31ef,2011-10-02,10,1
23,fa79809eaffb17be843d27c3e4e0b17a,e465b72a4d51f0900910763632882a88,2019-07-03,8,1
24,03405ac3e26540e96a2d4bbfad4a2c6e,425f65a4cdc51429a0758a681b9f8af1,2015-08-24,3,1
25,8d49dd915bfa4975a0355362219fa4da,4a21fe81261264ce8f9e3a49ddebd364,2011-06-01,4,1
26,883e8ab85e31d0ca288b6841cdb5a1f3,9ce2581af592bf7a0ea028e32a83ac8e,2011-10-23,10,1
27,5ff524cd25371ae08914a5a550b30618,b3464f488b518dc8f64e21652fe0f262,2015-02-01,7,1
28,e51c5f09750d4fe8e8fd44bbf6f184c5,907d167ec766ec057826d3991da0c18b,2011-04-02,7,1
29,0972aa9a56dde7c207e8076ba90bd0b3,89457032145fe13fe38b410c58226fa5,2015-08-08,2,1
30,f8781cf4023965d8fe3c3e8478f67ac4,c576d7fca24f683911814ed49f209096,2015-08-15,6,1
31,f9c0fbb0c208c27437b2366327135313,2fc4d831d75b7369015175a63ccc6045,2019-10-06,6,1
32,186fc214b6edb5dec405db384a78c0bf,f3099b2dcb1e5b529f9af0cd5fa64cd0,2014-05-30,8,1
33,90271e3b828c83ebac77330a8b382f8a,8006222baa35246d36e594e8660c7323,2012-04-02,1,1
34,f8006f250d87cdfd3d090fc82e6159c0,c5671dab86f1f3b7db659e94cce00f44,2010-11-18,10,1
